id,sentiment
1,0
2,0
3,1
4,1
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,0
14,0
15,1
16,1
17,0
18,0
19,1
20,1
21,0
22,1
23,0
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,1
32,0
33,1
34,0
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,1
45,0
46,1
47,1
48,1
49,1
50,0
51,0
52,1
53,1
54,1
55,0
56,0
57,0
58,1
59,1
60,1
61,1
62,0
63,1
64,0
65,1
66,1
67,1
68,1
69,0
70,0
71,0
72,1
73,1
74,1
75,1
76,0
77,0
78,1
79,0
80,1
81,0
82,1
83,1
84,0
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,1
93,1
94,0
95,1
96,1
97,1
98,1
99,0
100,1
101,1
102,1
103,0
104,1
105,0
106,0
107,1
108,0
109,0
110,0
111,0
112,0
113,0
114,1
115,0
116,0
117,1
118,1
119,0
120,1
121,0
122,1
123,0
124,0
125,1
126,0
127,1
128,1
129,0
130,0
131,0
132,1
133,1
134,0
135,1
136,0
137,1
138,1
139,1
140,1
141,0
142,0
143,1
144,1
145,0
146,1
147,1
148,1
149,1
150,0
151,1
152,0
153,1
154,1
155,1
156,1
157,1
158,0
159,1
160,0
161,1
162,1
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,0
175,0
176,1
177,0
178,1
179,1
180,1
181,0
182,1
183,0
184,0
185,0
186,1
187,1
188,0
189,1
190,1
191,1
192,0
193,1
194,0
195,1
196,1
197,1
198,1
199,0
200,0
201,1
202,0
203,1
204,1
205,0
206,1
207,1
208,1
209,1
210,1
211,1
212,0
213,1
214,1
215,1
216,1
217,1
218,0
219,1
220,1
221,1
222,0
223,1
224,1
225,1
226,1
227,1
228,0
229,0
230,1
231,1
232,1
233,1
234,0
235,1
236,1
237,0
238,0
239,1
240,0
241,0
242,0
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,0
252,1
253,0
254,1
255,1
256,1
257,1
258,0
259,1
260,0
261,1
262,0
263,0
264,1
265,1
266,1
267,0
268,0
269,0
270,1
271,0
272,0
273,1
274,0
275,1
276,1
277,1
278,1
279,1
