id,sentiment
1,1
2,1
3,0
4,0
5,1
6,1
7,0
8,0
9,1
10,1
11,1
12,1
13,1
14,0
15,0
16,0
17,0
18,1
19,1
20,1
21,1
22,1
23,0
24,0
25,0
26,0
27,0
28,1
29,0
30,1
31,0
32,0
33,1
34,1
35,0
36,0
37,0
38,1
39,1
40,1
41,0
42,0
43,1
44,1
45,1
46,1
47,1
48,0
49,1
50,1
51,1
52,0
53,1
54,1
55,0
56,0
57,1
58,0
59,0
60,1
61,1
62,1
63,1
64,0
65,1
66,1
67,1
68,1
69,1
70,1
71,1
72,1
73,0
74,1
75,1
76,1
77,1
78,1
79,0
80,1
81,1
82,1
83,0
84,1
85,0
86,0
87,1
88,1
89,0
90,1
91,1
92,0
93,1
94,1
95,1
96,0
97,0
98,1
99,1
100,1
101,1
102,1
103,1
104,0
105,0
106,1
107,0
108,1
109,0
110,1
111,0
112,0
113,1
114,1
115,0
116,1
117,0
118,1
119,0
120,1
121,1
122,1
123,0
124,0
125,0
126,0
127,1
128,1
129,1
130,1
131,0
132,1
133,1
134,0
135,0
136,1
137,1
138,0
139,0
140,1
141,1
142,0
143,1
144,1
145,1
146,1
147,1
148,0
149,0
150,0
151,1
152,1
153,0
154,0
155,0
156,1
157,1
158,0
159,1
160,1
161,1
162,1
163,0
164,1
165,0
166,1
167,0
168,1
169,0
170,1
171,1
172,0
173,1
174,1
175,0
176,0
177,1
178,1
179,0
180,1
181,1
182,1
183,1
184,1
185,1
186,1
187,1
188,0
189,0
190,0
191,0
192,0
193,1
194,1
195,0
196,1
197,1
198,1
199,0
200,0
201,0
202,1
203,0
204,1
205,0
206,0
207,1
208,1
209,1
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,1
219,1
220,1
221,0
222,0
223,1
224,1
225,1
226,0
227,0
228,1
229,1
230,1
231,1
232,1
233,1
234,1
235,1
236,0
237,0
238,1
239,1
240,1
241,0
242,0
243,1
244,0
245,1
246,1
247,1
248,0
249,1
250,0
251,0
252,1
253,1
254,1
255,0
256,1
257,0
258,0
259,1
260,1
261,1
262,1
263,0
264,0
265,1
266,0
267,0
268,0
269,1
270,1
271,1
272,0
273,0
274,1
275,0
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,1
285,1
286,1
287,1
288,1
289,1
290,0
291,1
292,1
293,1
294,0
295,1
296,0
297,1
298,0
299,0
300,0
301,1
302,0
303,1
304,1
305,1
306,0
307,1
308,0
309,1
310,0
311,0
312,1
313,1
314,1
315,0
316,1
317,1
318,0
319,0
320,1
321,1
322,1
323,1
324,1
325,1
326,1
327,1
328,1
329,1
330,1
331,1
332,1
333,0
334,0
335,1
336,1
337,0
338,1
339,0
340,0
341,1
342,0
343,0
344,0
345,1
346,0
347,1
348,1
349,1
350,1
351,1
352,1
353,1
354,1
355,0
356,1
357,0
358,1
359,1
360,1
361,1
362,0
363,1
364,1
365,1
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,1
375,1
376,1
377,1
378,1
379,0
380,1
381,1
382,0
383,1
384,0
385,1
386,0
387,1
388,1
389,1
390,0
391,0
392,0
393,0
394,1
395,1
396,1
397,1
398,1
399,0
400,0
401,1
402,1
403,1
404,0
405,1
406,1
407,0
408,1
409,1
410,0
411,1
412,0
413,1
414,1
415,0
416,1
417,1
418,0
419,0
420,1
421,1
422,1
423,1
424,1
425,1
426,1
427,1
428,1
429,1
430,0
431,0
432,1
433,0
434,0
435,0
436,0
437,1
438,1
439,0
440,1
441,0
442,1
443,0
444,1
445,0
446,1
447,1
448,0
449,0
450,1
451,1
452,0
453,1
454,1
455,1
456,0
457,0
458,1
459,1
460,1
461,0
462,0
463,1
464,1
465,0
466,1
467,1
468,0
469,0
470,1
471,1
472,1
473,0
474,1
475,1
476,1
477,0
478,0
479,0
480,1
481,0
482,0
483,1
484,1
485,1
486,1
487,1
488,1
489,1
490,1
491,1
492,1
493,0
494,0
495,1
496,1
497,1
498,0
499,1
500,0
501,1
502,1
503,1
504,1
505,0
506,0
507,1
508,1
509,1
510,1
511,0
512,1
513,1
514,1
515,1
516,0
517,1
518,1
519,1
520,0
521,1
522,0
523,1
524,0
525,1
526,1
527,0
528,1
529,1
530,0
531,0
532,0
533,1
534,1
535,0
536,0
537,1
538,1
539,0
540,1
541,0
542,0
543,0
544,1
545,1
546,0
547,1
548,1
549,1
550,0
551,0
552,1
553,1
554,0
555,1
556,1
557,1
558,1
559,0
560,0
561,0
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,0
571,0
572,0
573,1
574,1
575,0
576,0
577,1
578,1
579,1
580,0
581,1
582,0
583,1
584,1
585,0
586,0
587,1
588,0
589,0
590,0
591,1
592,0
593,0
594,0
595,1
596,0
597,0
598,1
599,1
600,1
601,1
