id,sentiment
1,0
2,1
3,1
4,0
5,1
6,0
7,0
8,1
9,1
10,0
11,0
12,1
13,1
14,0
15,0
16,1
17,0
18,0
19,0
20,0
21,1
22,1
23,0
24,0
25,1
26,0
27,1
28,1
29,0
30,1
31,1
32,0
33,0
34,0
35,1
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,1
44,0
45,1
46,1
47,1
48,1
49,0
50,1
51,0
52,0
53,1
54,1
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,1
64,0
65,1
66,0
67,1
68,0
69,1
70,0
71,1
72,1
73,1
74,0
75,1
76,1
77,0
78,1
79,0
80,1
81,0
82,1
83,0
84,1
85,0
86,0
87,0
88,0
89,0
90,0
91,1
92,0
93,0
94,1
95,1
96,0
97,1
98,1
99,1
100,1
101,1
102,0
103,1
104,1
105,1
106,1
107,1
108,1
109,0
110,1
111,0
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,1
120,0
121,0
122,0
123,0
124,0
125,1
126,1
127,0
128,1
129,0
130,1
131,0
132,1
133,0
134,0
135,0
136,0
137,1
138,0
139,1
140,1
141,0
142,1
143,0
144,1
145,0
146,1
147,1
148,1
149,0
150,0
151,1
152,1
153,1
154,0
155,1
156,0
157,1
158,0
159,0
160,0
161,1
162,0
163,1
164,1
165,0
166,1
167,0
168,0
169,1
170,1
171,0
172,0
173,1
174,1
175,0
176,0
177,0
178,0
179,0
180,0
181,0
182,1
183,1
184,1
185,0
186,0
187,0
188,0
189,1
190,1
191,0
192,0
193,0
194,1
195,1
196,1
197,0
198,0
199,0
200,0
201,1
202,1
203,0
204,1
205,1
206,1
207,1
208,1
209,0
210,1
211,0
212,1
213,1
214,1
215,1
216,1
217,1
218,0
219,0
220,1
221,0
222,1
223,1
224,1
225,0
226,1
227,1
228,1
229,0
230,0
231,1
232,1
233,1
234,0
235,0
236,1
237,0
238,1
239,1
240,1
241,1
242,1
243,0
244,1
245,1
246,1
247,1
248,1
249,1
250,1
251,1
252,0
253,1
254,1
255,0
256,0
257,1
258,1
259,1
260,1
261,0
262,0
263,1
264,0
265,1
266,1
267,1
268,1
269,0
270,1
271,0
272,1
273,0
274,1
275,1
276,1
277,1
278,1
279,1
280,1
281,1
282,1
283,0
284,0
285,1
286,1
287,1
288,1
289,1
290,1
291,1
292,0
293,1
294,0
295,1
296,1
297,1
298,0
299,1
300,0
301,0
302,0
303,1
304,1
305,1
306,1
307,1
308,1
309,0
310,0
311,0
312,0
313,0
314,0
315,1
316,1
317,1
318,0
319,1
320,1
321,0
322,0
323,0
324,1
325,1
326,1
327,0
328,0
329,1
330,1
331,1
332,0
333,1
334,0
335,0
336,1
337,1
338,1
339,1
340,0
341,1
342,1
343,0
344,1
345,0
346,1
347,1
348,1
349,0
350,1
351,1
352,1
353,0
354,1
355,1
356,1
357,1
358,0
359,0
360,0
361,0
362,1
363,1
364,0
365,1
366,0
367,1
368,0
369,0
370,1
371,1
372,1
373,1
374,0
375,1
376,0
377,0
378,1
379,0
380,0
381,1
382,1
383,1
384,0
385,1
386,1
387,1
388,1
389,0
390,1
391,1
392,1
393,0
394,1
395,0
396,0
397,1
398,0
399,1
400,0
401,1
402,0
403,1
404,0
405,0
406,1
407,1
408,0
409,0
410,1
411,1
412,0
413,0
414,0
415,0
416,0
417,1
418,0
419,0
